Length,Food,Gender
1.3,I,0
1.32,F,0
1.32,F,0
1.4,F,0
1.42,I,0
1.42,F,0
1.47,I,0
1.47,F,0
1.5,I,0
1.52,I,0
1.63,I,0
1.65,O,0
1.65,O,0
1.65,I,0
1.65,F,0
1.68,F,0
1.7,I,0
1.73,O,0
1.78,F,0
1.78,O,0
1.8,F,0
1.85,F,0
1.93,I,0
1.93,F,0
1.98,I,0
2.03,F,0
2.03,F,0
2.31,F,0
2.36,F,0
2.46,F,0
3.25,O,0
3.28,O,0
3.33,F,0
3.56,F,0
3.58,F,0
3.66,F,0
3.68,O,0
3.71,F,0
3.89,F,0
1.24,I,1
1.3,I,1
1.45,I,1
1.45,O,1
1.55,I,1
1.6,I,1
1.6,I,1
1.65,F,1
1.78,I,1
1.78,O,1
1.8,I,1
1.88,I,1
2.16,F,1
2.26,F,1
2.31,F,1
2.36,F,1
2.39,F,1
2.41,F,1
2.44,F,1
2.56,O,1
2.67,F,1
2.72,I,1
2.79,F,1
2.84,F,1
